epoch,train_loss,val_loss
1,0.6083233604828516,0.5832906365394592
2,0.5649378046393394,0.5806615215081435
3,0.5490159834424655,0.5721182502233065
4,0.5290191079179446,0.5788713097572327
5,0.5180551802118619,0.5847226931498601
6,0.5078891331950823,0.5802496946774997
7,0.4940984045465787,0.5842831960091224
8,0.48845670769611993,0.5851925542721381
9,0.4794817621509234,0.5825238961439866
10,0.4731894349058469,0.5864044244472797
11,0.4542723606030146,0.5957037714811472
12,0.4552237043778102,0.6004791947511526
13,0.44989946732918423,0.6101820606451768
14,0.4443140491843224,0.6109190858327426
15,0.43133650173743565,0.6214546836339511
16,0.422106970846653,0.6278881476475642
17,0.4161218966046969,0.6251941094031701
18,0.41428669492403664,0.6305733047998868
19,0.4055361270904541,0.6452760283763592
20,0.4047694573799769,0.6337306178533114
21,0.39768238564332326,0.6468879442948562
22,0.3948503866791725,0.6447885815913861
23,0.3846404482920965,0.6596922507652869
24,0.3866888925433159,0.6623075191791241
25,0.3765351538856824,0.6642782183793875
26,0.3772019152839979,0.6676661372184753
27,0.36835603912671405,0.6868533858886132
28,0.3630487302939097,0.6984015886600201
29,0.3603781928618749,0.6780309172777029
30,0.3585968419909477,0.6893996825584998
31,0.35037964085737866,0.6929451685685378
32,0.3476736197868983,0.6938037413817185
33,0.3391741077105204,0.7103847632041345
34,0.33908427755037945,0.7132468131872324
35,0.342001993705829,0.7089443711134104
36,0.32262009009718895,0.7159317410909213
37,0.3341556427379449,0.7278755077948937
38,0.321653068313996,0.7339797891103305
39,0.3167673339446386,0.7306421674214877
40,0.3149620406329632,0.7490999377690829
41,0.31290239716569584,0.7510744745914752
42,0.3128154993057251,0.7546545312954829
43,0.3033136442303658,0.7441768371141874
44,0.3045583839217822,0.7392479318838853
45,0.3005381479859352,0.7485386224893423
46,0.29040888225038847,0.7733893944666936
47,0.29729305679599444,0.7663316910083477
48,0.2957060389220715,0.7674469214219314
49,0.28007612749934196,0.793402034502763
50,0.28316071033477785,0.8054077258476844
51,0.2858728989958763,0.7989049141223614
52,0.28492243513464927,0.7776149786435641
53,0.2697228545943896,0.8090239900809068
54,0.2661268966893355,0.8109324757869427
55,0.2697721071541309,0.7910230205609248
56,0.26445397958159444,0.814580078308399
57,0.26944718187054,0.8425490260124207
58,0.2597698964178562,0.8402703221027668
59,0.2626204942663511,0.8314130993989798
60,0.25923954099416735,0.8527847390908462
61,0.25106363048156105,0.8641988543363718
62,0.25538248295585314,0.8428235008166387
63,0.2465796187520027,0.8584580742395841
64,0.2460314355790615,0.8715428159787104
65,0.2463058906296889,0.8552837922022893
66,0.2413549763460954,0.869567137498122
67,0.23468387573957444,0.8851125882222102
68,0.23684223319093387,0.8707290475185101
69,0.22833503782749176,0.8959806057123038
70,0.2299118143816789,0.88145623757289
71,0.23068328872323035,0.906157754934751
72,0.22167589366436005,0.8907415316655085
73,0.22680506805578868,0.8843908676734338
74,0.21994106099009514,0.9066092922137334
75,0.22563190534710884,0.9379081359276404
76,0.21772887855768203,0.9224523076644311
77,0.2191950640330712,0.9620441702695993
78,0.21587865675489107,0.9140744759486272
79,0.20832197442650796,0.9514078864684472
80,0.21601690190533798,0.9396942395430344
81,0.19981356784701348,0.9622578391662011
82,0.21236682708064716,0.9699966219755319
83,0.20901649445295334,0.9897673817781302
84,0.20810723664859931,0.9615012040505042
85,0.20614794914921125,0.9875748340900128
86,0.20111697191993397,0.9879222007898184
87,0.20860387633244196,0.9638013060276325
88,0.2006362874060869,1.0059558153152466
89,0.20213837921619415,0.9975374386860774
90,0.19375137127935887,0.9919302050883954
91,0.1936741903424263,1.0332265496253967
92,0.19392461578051248,0.9889472768856928
93,0.19387897998094558,1.0227791254337018
94,0.1873615821202596,1.0130562644738417
95,0.19461438655853272,1.0005928048720727
96,0.1898904367039601,1.024542171221513
97,0.18937092497944832,1.0325862444364107
98,0.18241745680570604,1.0427751953785236
99,0.17928477115929126,1.0182564717072706
100,0.18546717402835686,1.0329415202140808
101,0.18385462475319703,1.0368884343367357
102,0.17150725635389488,1.0557863070414617
103,0.17590358046193919,1.0726184294773982
104,0.18316143502791724,1.0450394657941966
105,0.1770926887790362,1.0670172297037566
106,0.17338691242039203,1.076827503167666
107,0.17467424186567465,1.1144128075012794
108,0.1754254469027122,1.066186771943019
109,0.17274049296975136,1.1050510452343867
110,0.17487912997603416,1.0913689961800208
111,0.17050357349216938,1.133924507177793
112,0.16650151399274668,1.1142251216448271
113,0.1719903097798427,1.1283806837522066
114,0.1594538901001215,1.1426756978034973
115,0.16264864541590213,1.1461050189458406
116,0.16465130522847177,1.1364206534165602
117,0.1635478896399339,1.1230930548447828
118,0.1605473283678293,1.1331026875055754
119,0.15435416698455812,1.151667439020597
120,0.16139278262853624,1.1536323474003718
