quality_group,n,mean_label_quality_score,mean_label_noise_score,mean_provided_class_probability,mean_classifier_confidence,same_class_rate,same_top_class_rate,mean_annotation_confidence,rate
clean_high_quality,13080,0.9154478257256247,0.0845521742743754,0.9047896361307339,0.9047896361307339,1.0,1.0,3.397465631559633,0.41571319603356216
middle_uncertain,10871,0.3947643528814764,0.6052356471185236,0.3383600723464094,0.5253509030871125,0.44706098794959065,0.6360960353233374,3.1451559118480357,0.34550597508263414
pseudo_label_candidate,4496,0.26107637909831977,0.7389236209016802,0.022913001115639,0.9429015366147687,0.0,0.4210409252669039,3.398583233963523,0.14289346554792778
ambiguous_same_top,1754,0.301112302890631,0.698887697109369,0.12383039517762714,0.7225213603249715,0.0,1.0,3.244561971550741,0.05574624968217646
noisy_top_mismatch,1263,0.1769042990664184,0.8230957009335815,0.06712579546065875,0.784409305922407,0.0,0.0,3.086916981393508,0.04014111365369947
