uploader,n,mean_label_quality_score,clean_rate,noisy_top_mismatch_rate,pseudo_label_rate,same_class_rate,dominant_class,dominant_top
JSK_Productions,1,0.19945033416103558,0.0,0.0,0.0,0.0,fx-m,fx
khanmzakir,1,0.19945915668460906,0.0,0.0,1.0,0.0,ss-n,ss
Suso_Ramallo,1,0.1995733824151723,0.0,0.0,1.0,0.0,ss-u,ss
noisetinker,1,0.20036728986964591,0.0,0.0,1.0,0.0,ss-i,ss
TAFKAS.NABV,1,0.20044259659886604,0.0,0.0,0.0,0.0,fx-ex,fx
Paddoa,6,0.20045275355490397,0.0,0.0,0.6666666666666666,0.0,ss-n,fx
seinwin123456789,1,0.2005386369489441,0.0,0.0,1.0,0.0,is-p,is
bigspider95,3,0.2016544529450468,0.0,0.3333333333333333,0.3333333333333333,0.0,fx-h,fx
jonopodmore,2,0.2017631030463931,0.0,0.0,1.0,0.0,is-e,is
vox_artist,2,0.2020502070628239,0.0,0.5,0.0,0.0,sp-s,sp
cognito perceptu,2,0.20213651939536306,0.0,0.5,0.5,0.0,ss-i,ss
taylordonj,1,0.20238706834687234,0.0,0.0,1.0,0.0,ss-n,ss
Leevij,37,0.20266051998764523,0.0,0.5135135135135135,0.1891891891891892,0.0,ss-u,ss
romancito,1,0.20270767097008519,0.0,0.0,1.0,0.0,ss-n,ss
hbinfinity,1,0.20271147020598235,0.0,0.0,1.0,0.0,ss-n,ss
emmaxkiss,1,0.20282897076255735,0.0,0.0,1.0,0.0,ss-n,ss
mauriedo,9,0.20297197636056533,0.0,0.3333333333333333,0.1111111111111111,0.1111111111111111,fx-el,fx
sofilins,1,0.20324625217923842,0.0,0.0,1.0,0.0,ss-n,ss
dannyah,1,0.2032940096078791,0.0,0.0,1.0,0.0,ss-i,ss
Felipezz,1,0.2033069090020747,0.0,0.0,1.0,0.0,fx-n,fx
Maryo23,1,0.2037451736582712,0.0,0.0,1.0,0.0,ss-n,ss
bannaa,1,0.20412906506083234,0.0,0.0,0.0,0.0,fx-m,fx
wanderinginmymind,1,0.20415662893922296,0.0,0.0,1.0,0.0,ss-i,ss
soundscapes129,3,0.204241017094295,0.0,0.0,1.0,0.0,ss-n,ss
klaasjanvanderploeg,1,0.20450729830935263,0.0,0.0,1.0,0.0,ss-n,ss
gffdhgkhdf,1,0.2047207906325299,0.0,0.0,1.0,0.0,is-e,is
jeffjb91,1,0.20483674546113062,0.0,0.0,1.0,0.0,sp-s,sp
46825,3,0.20491348680675245,0.0,0.0,1.0,0.0,ss-i,ss
Hammer_Hörspielschmiede,1,0.2051406278517216,0.0,0.0,1.0,0.0,ss-i,ss
36.sylver,2,0.20579171154263312,0.0,0.0,1.0,0.0,sp-s,sp
Caspar23828,1,0.20579791824710103,0.0,0.0,1.0,0.0,fx-h,fx
AudiotubeRania,2,0.20580135522166831,0.0,0.0,0.5,0.0,fx-m,fx
Gerhun,1,0.20592928669285426,0.0,0.0,1.0,0.0,ss-u,ss
MisterJohnson69,5,0.2059926269256079,0.0,0.2,0.8,0.0,ss-n,ss
sm_s,1,0.20608226036533728,0.0,0.0,1.0,0.0,ss-s,ss
etki_0000,1,0.20618662283673886,0.0,0.0,1.0,0.0,ss-i,ss
ghosttropic,6,0.20637248284440976,0.0,0.5,0.0,0.0,ss-n,ss
thatmossymoo,1,0.20670578806339518,0.0,0.0,0.0,0.0,ss-i,ss
lukabailen,2,0.2067216025954326,0.0,0.0,0.5,0.0,fx-m,fx
dailyclay,1,0.20683837010455486,0.0,0.0,1.0,0.0,ss-u,ss
FeBeZo,1,0.2075022500266922,0.0,1.0,0.0,0.0,fx-el,fx
Aquarius43,1,0.20791604037275266,0.0,0.0,1.0,0.0,ss-i,ss
sketchy.dog,1,0.20823297269331317,0.0,0.0,1.0,0.0,fx-el,fx
Jean_Filho,1,0.20841393658800614,0.0,0.0,0.0,0.0,fx-ex,fx
soltys176,3,0.20854934555483284,0.0,0.0,0.3333333333333333,0.0,ss-n,ss
pghiga,1,0.20860282060423208,0.0,0.0,1.0,0.0,ss-n,ss
Andycraft1,1,0.20893172473712712,0.0,0.0,1.0,0.0,ss-u,ss
R2dxu,3,0.20902887593517974,0.0,0.0,0.3333333333333333,0.0,fx-m,fx
johan_mayfly,1,0.20918306985285928,0.0,0.0,1.0,0.0,ss-n,ss
23Gary,1,0.20932809253976095,0.0,0.0,1.0,0.0,ss-u,ss
siddharthgovindan,2,0.2094353363809349,0.0,0.0,0.0,0.0,ss-u,ss
theplenkov,1,0.20957022844626558,0.0,0.0,0.0,0.0,fx-m,fx
Reprieve,5,0.20970581525133847,0.0,0.0,0.2,0.0,fx-el,fx
DoctorMelon,2,0.20983358256230722,0.0,0.0,0.0,0.0,fx-h,fx
eklektos_,1,0.20991162712937333,0.0,0.0,1.0,0.0,is-k,is
Bambitaliano,5,0.21002224545223952,0.0,0.0,1.0,0.0,ss-u,ss
byrone2384,1,0.21059612776015077,0.0,0.0,1.0,0.0,ss-n,ss
Airlane1979,5,0.21069149427589315,0.0,0.2,0.6,0.0,sp-s,sp
lilyxu1006,11,0.21092467612897134,0.0,0.18181818181818182,0.36363636363636365,0.09090909090909091,ss-s,ss
hydrophicet,1,0.21111022536823043,0.0,0.0,1.0,0.0,fx-h,fx
nanonic_sounds,6,0.21124505475037822,0.0,0.3333333333333333,0.16666666666666666,0.0,fx-el,fx
Razu_Freesound,1,0.21134006311239975,0.0,0.0,1.0,0.0,sp-s,sp
UniMusuotankarep,1,0.21149325352750192,0.0,0.0,0.0,0.0,fx-el,fx
lakewoodsound,1,0.21163386653025362,0.0,1.0,0.0,0.0,ss-n,ss
kavagik,1,0.21181248682773088,0.0,1.0,0.0,0.0,fx-h,fx
takareads,1,0.21202961897756487,0.0,0.0,1.0,0.0,sp-s,sp
sourceguy,1,0.21234085810543557,0.0,0.0,1.0,0.0,is-p,is
maroonhorizon34,1,0.21237844602208267,0.0,0.0,1.0,0.0,fx-n,fx
callbomber,1,0.2123970175242373,0.0,0.0,1.0,0.0,fx-h,fx
ThomasMr09,1,0.21268282748276673,0.0,0.0,0.0,0.0,fx-ex,fx
Ratolojanaharyaro,2,0.21287643275209972,0.0,0.0,1.0,0.0,ss-n,ss
ristodromberg,44,0.21291683520526217,0.0,0.25,0.7272727272727273,0.0,ss-u,ss
JUrbina302,1,0.21304519784274395,0.0,1.0,0.0,0.0,ss-i,ss
