epoch,train_loss,val_loss,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,mae
1,1.422407684145209,1.3123471242076945,0.43335362142422396,0.35896199662972494,0.33454008546404845,0.2222513623420273,0.525155701076614,0.43335362142422396,0.4002633924563318,0.8685331710286062
2,1.1988254953018855,1.2328237021615138,0.4698721850273889,0.3855236008763332,0.37516878466073406,0.27705163609904127,0.5332257091102747,0.4698721850273889,0.4518225442606468,0.7936701156421181
3,1.1285297855027938,1.2170272799286985,0.4692635423006695,0.38059424594070546,0.36628816183453516,0.25932562178013874,0.5400633820489853,0.4692635423006695,0.439871437619991,0.7875836883749239
4,1.050542352547908,1.1576334232973458,0.4930006086427267,0.3848566247034664,0.3615476590726355,0.2931129503281556,0.5408920328373485,0.4930006086427267,0.4682182864344261,0.699939135727328
5,0.9919904810065788,1.145192643744294,0.4996956786366403,0.3848634234451193,0.38448366104661924,0.3020354518127119,0.5516050371589342,0.4996956786366403,0.48510981665726416,0.6883749239196592
6,0.9568149543668106,1.1275433234448702,0.5033475349969568,0.38465921935797825,0.3990966734929007,0.3061216515563029,0.5465980981125498,0.5033475349969568,0.47861347331314863,0.6688983566646378
7,0.9261783106593977,1.1599094346755174,0.4844796104686549,0.37646015528430715,0.3683637336682061,0.29389583861316515,0.5418418419831853,0.4844796104686549,0.470988051796155,0.7157638466220329
8,0.8982099127090859,1.1234470165436108,0.4966524650030432,0.3630594716122516,0.36153716924405593,0.2935444889235874,0.536386814532999,0.4966524650030432,0.47258801801532246,0.6707242848447961
9,0.870564983918047,1.1101359845078433,0.5057821059038344,0.3867814743677877,0.3521345382005152,0.2974722897037791,0.5525080549748582,0.5057821059038344,0.4812512861179001,0.6542909312233719
10,0.838379783435836,1.1062532960098832,0.5143031040779062,0.3762867435594709,0.39701351955625586,0.3094262634118337,0.544925308373546,0.5143031040779062,0.48640760383275283,0.6469872185027389
11,0.8234647707242441,1.1068905849538049,0.5203895313451005,0.38765400703972763,0.37024577888525745,0.31440391052835304,0.5548794949259109,0.5203895313451005,0.4929603262699862,0.6256847230675593
12,0.8029329273144253,1.116703305096432,0.5161290322580645,0.38933372472912514,0.38090194156877133,0.32519848645133137,0.5555574427407813,0.5161290322580645,0.5015313941067207,0.6463785757760194
13,0.7886544291660953,1.0737665771930158,0.5258673158855751,0.39636313037710175,0.3653756463558973,0.3187205429757234,0.54734907870863,0.5258673158855751,0.49773791133057627,0.598904443091905
14,0.7665350153912177,1.1061836609518245,0.5161290322580645,0.38798224844670565,0.35511469673370777,0.3095047039020232,0.5470310760674192,0.5161290322580645,0.49438690072223823,0.6238587948874011
15,0.764484283060005,1.1062363144543137,0.5222154595252587,0.39750718944611857,0.3772280865394345,0.31348507565151473,0.5532934840021171,0.5222154595252587,0.4949406163616487,0.6220328667072429
16,0.7524931935612572,1.085512441030306,0.5258673158855751,0.3869499801871889,0.36284237596153546,0.3254424477036237,0.5520878035860035,0.5258673158855751,0.5056665541480787,0.6104686548995739
17,0.7320760373417747,1.0713270887396935,0.5325623858794888,0.39317081700166306,0.35903661045469104,0.32532227542228764,0.5520843059510868,0.5325623858794888,0.5131485095106978,0.5855143031040779
18,0.7011517657930529,1.0792318055053636,0.5258673158855751,0.38025236829352826,0.3880670418179001,0.33426765057946006,0.5403684677406254,0.5258673158855751,0.5030018009222428,0.598904443091905
19,0.7042577314648275,1.0698115603632123,0.5410833840535606,0.4095795446587166,0.3727035124914561,0.3300279482315524,0.5602277488971427,0.5410833840535606,0.5075583177859498,0.5776019476567255
20,0.7112753517623192,1.1205224926995563,0.5252586731588558,0.3982587547538313,0.3629506229170576,0.31669705987018276,0.5616684188721669,0.5252586731588558,0.5088060314981301,0.6171637248934875
21,0.696112673137853,1.1028047586024279,0.5349969567863664,0.3942358555029194,0.3616667546501141,0.3192488712371291,0.559924049588821,0.5349969567863664,0.5091103544583367,0.5891661594643944
22,0.6831464986534227,1.1224769179006937,0.5295191722458916,0.3943139878487064,0.3623377584406974,0.3261407454654042,0.5604187176559742,0.5295191722458916,0.5086640175544523,0.5982958003651856
23,0.6796369567835806,1.0859731347983157,0.5459525258673159,0.4049397901557782,0.38749592634995156,0.35257816285717264,0.5676521258129399,0.5459525258673159,0.531423795307113,0.5696895922093731
24,0.6650397089423445,1.0903636632862428,0.5374315276932441,0.389724506947997,0.3587903997440446,0.3282398713633218,0.5533378862185001,0.5374315276932441,0.5144983836332334,0.5800365185636032
25,0.6615337223549722,1.0748479962711717,0.5502130249543518,0.41761857832683374,0.37835173353926227,0.3472546392647588,0.5672351397701388,0.5502130249543518,0.5286320997722299,0.5611685940353013
26,0.654338552399876,1.0955763135969239,0.5483870967741935,0.4257618294436371,0.3897286217515357,0.36182357362536344,0.5648131960000203,0.5483870967741935,0.5252253420213374,0.5538648813146683
27,0.6579707549486938,1.1051438390229145,0.5374315276932441,0.39255945210620136,0.38333667111808695,0.3474507988627284,0.552703689434724,0.5374315276932441,0.5214331266947063,0.5776019476567255
28,0.6148790692943775,1.0874400774444375,0.5471698113207547,0.3982995548038941,0.37712437430501494,0.35699084347732635,0.5529940304711188,0.5471698113207547,0.5316493079068081,0.5502130249543518
29,0.6260724870213069,1.0967100054043788,0.5483870967741935,0.40051216296119635,0.3661938883099178,0.334765613920105,0.5597526253629275,0.5483870967741935,0.5232952141985153,0.5672550213024954
30,0.6247928558762205,1.0877867528598482,0.5423006695069994,0.39842203522902314,0.3759225395124955,0.3377427533549001,0.5508497617853971,0.5423006695069994,0.5194000204470743,0.5733414485696896
31,0.6101787352019062,1.1057353701739505,0.5435179549604382,0.38980831297200763,0.35159137390729034,0.32622520979391884,0.5553365032087597,0.5435179549604382,0.5181627634620681,0.5733414485696896
