tag,w1,w2,5class_best_epoch,5class_test_accuracy,5class_test_macro_f1,5class_test_macro_recall,5class_test_mae,5class_recall_1,5class_recall_2,5class_recall_3,5class_recall_4,5class_recall_5,binary_best_epoch,binary_test_accuracy,binary_test_macro_f1,binary_test_macro_recall,binary_recall_123,binary_recall_45
baseline_w1_1_w2_1,1.0,1.0,4,0.5936739659367397,0.2968858555607253,0.2843364397499579,0.4628953771289538,0.0,0.09821428571428571,0.3719512195121951,0.8489525909592062,0.10256410256410256,4,0.7086374695863747,0.6780143984083,0.6735257056451613,0.5306451612903226,0.81640625
mild_w1_5_w2_1p5,5.0,1.5,4,0.5790754257907542,0.31960836896909955,0.3026225098915152,0.48661800486618007,0.0625,0.17857142857142858,0.3089430894308943,0.8434399117971334,0.11965811965811966,4,0.7147201946472019,0.6917255565973048,0.689226310483871,0.5854838709677419,0.79296875
medium_w1_10_w2_2,10.0,2.0,8,0.5760340632603407,0.3246544043881964,0.3201366079458558,0.5024330900243309,0.125,0.22321428571428573,0.3089430894308943,0.8324145534729879,0.1111111111111111,4,0.6982968369829684,0.6782875332000334,0.6779517389112903,0.5951612903225807,0.7607421875
current_w1_20p54_w2_2p93,20.540625,2.927839643652561,13,0.5675182481751825,0.3211133405452149,0.3272304368184649,0.5182481751824818,0.125,0.30357142857142855,0.266260162601626,0.8302094818081588,0.1111111111111111,4,0.698905109489051,0.6843522448661373,0.6876669606854839,0.6419354838709678,0.7333984375
strong_w1_30_w2_4,30.0,4.0,13,0.5498783454987834,0.303379991908162,0.32032251783408106,0.5571776155717761,0.125,0.33035714285714285,0.22560975609756098,0.8180815876515987,0.10256410256410256,4,0.6940389294403893,0.6849656843416594,0.6942603326612904,0.6951612903225807,0.693359375
very_strong_w1_40_w2_6,40.0,6.0,19,0.5413625304136253,0.3001807038894636,0.33356841021582734,0.5742092457420924,0.125,0.45535714285714285,0.16463414634146342,0.8202866593164277,0.10256410256410256,13,0.6940389294403893,0.6806185155302844,0.6850333921370968,0.6483870967741936,0.7216796875
