epoch,train_loss,val_loss,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,mae
1,0.6163547266577878,0.6015890194596275,0.657334144856969,0.6466710065547275,0.6544262930504741,0.6469330228918767,0.6729036351387695,0.657334144856969,0.6617232707925931,0.34266585514303105
2,0.5562279858388943,0.5866414892622703,0.6670724284844796,0.6527427328395778,0.6590949198155869,0.6541152473227945,0.6771946815783252,0.6670724284844796,0.6704543342593848,0.3329275715155204
3,0.5388286184048139,0.5816429356431642,0.6835057821059038,0.6662930331964882,0.6704088160312103,0.6678227060653188,0.6883451492114265,0.6835057821059038,0.6854387102453596,0.31649421789409615
4,0.514707342696817,0.5770324316970908,0.6908094948265369,0.6702462277486743,0.6677499204300872,0.6688603938869757,0.6887762729132201,0.6908094948265369,0.6896679340211695,0.3091905051734632
5,0.5038178919978841,0.5814068237601876,0.6877662811929397,0.6696854907428925,0.6725698088116194,0.6708951158990498,0.6908236743302655,0.6877662811929397,0.6890815064443451,0.31223371880706025
6,0.4923061821830503,0.5848012635131762,0.6932440657334145,0.6751083562473785,0.677604772303998,0.6761953920510535,0.6957101112159348,0.6932440657334145,0.6943293924399839,0.30675593426658554
7,0.4814812641358292,0.5858350464721606,0.6920267802799757,0.6726182607874611,0.6728353044612723,0.6727256551328846,0.6922223321136535,0.6920267802799757,0.6921235277744472,0.30797321972002434
8,0.47301409380176773,0.5940275000713253,0.682288496652465,0.6627412413948623,0.6637438510577283,0.6632149622550821,0.6833145992906593,0.682288496652465,0.6827763108314262,0.317711503347535
9,0.460666363876982,0.5945276270824021,0.6853317102860621,0.6664973828514457,0.6684014483299772,0.6673496441194036,0.6873033478687492,0.6853317102860621,0.6862261062472309,0.3146682897139379
10,0.4588112080153715,0.6101812872303308,0.6835057821059038,0.6617824309695766,0.6577721684928355,0.6594112769485904,0.680199056351537,0.6835057821059038,0.6815208800792144,0.31649421789409615
11,0.45418782893684756,0.6212487989856351,0.6755934266585514,0.6563957849004578,0.6583622463610552,0.6572594106805779,0.6778393903182727,0.6755934266585514,0.6766066222783867,0.32440657334144857
12,0.43412100869116443,0.6145448876239872,0.6755934266585514,0.6554751968874526,0.6561508330418395,0.6557996519945462,0.6763212179164206,0.6755934266585514,0.6759450927058815,0.32440657334144857
13,0.4364872326201221,0.606042347662491,0.6902008520998174,0.6693973417043007,0.6663129350741024,0.6676474854595998,0.6877318640528769,0.6902008520998174,0.6887780929893363,0.3097991479001826
14,0.4248661548925288,0.6247354787221713,0.6701156421180767,0.6488453386479389,0.6482726238533267,0.6485492146183598,0.6694976187726973,0.6701156421180767,0.6697977095259433,0.32988435788192333
15,0.417221194768762,0.623890408349342,0.6865489957395009,0.6682819964017619,0.6709595028534874,0.6694194695755893,0.6893916988064689,0.6865489957395009,0.6877856192860934,0.3134510042604991
16,0.4098305330378488,0.6326389928017894,0.6816798539257456,0.659913112164297,0.6563044581210156,0.6578027974272558,0.6786036120493952,0.6816798539257456,0.6798643173717129,0.3183201460742544
17,0.4077616335340757,0.6236823065137254,0.6835057821059038,0.6626411248586761,0.6609313303774292,0.6617146296266967,0.6819638212931757,0.6835057821059038,0.6826696707397951,0.31649421789409615
18,0.3977101683744473,0.6455416595217518,0.6780279975654291,0.6573473994360071,0.6568441154504288,0.6570888731336895,0.6775248199953701,0.6780279975654291,0.6777701265748906,0.3219720024345709
19,0.390479738532131,0.6575427574858895,0.6780279975654291,0.6593631738941621,0.6618987744657786,0.6604328143795859,0.6809326098946752,0.6780279975654291,0.6792982380628028,0.3219720024345709
20,0.3849605675448224,0.6441122416091706,0.674984783931832,0.6547677353727913,0.6553456800627735,0.6550468974107344,0.6756084460981778,0.674984783931832,0.6752876379043042,0.32501521606816797
21,0.37698080400699874,0.6570956786812187,0.6847230675593426,0.6633420830840298,0.6600143068278863,0.6614241703823227,0.6819402930072413,0.6847230675593426,0.6831013345771836,0.31527693244065735
22,0.3701048149610699,0.6417803633742701,0.6804625684723068,0.6595219933892703,0.6581692302359365,0.6587986881604143,0.6791874983267355,0.6804625684723068,0.6797823016992279,0.31953743152769326
23,0.3723520940334321,0.6635643511520822,0.6804625684723068,0.6595219933892703,0.6581692302359365,0.6587986881604143,0.6791874983267355,0.6804625684723068,0.6797823016992279,0.31953743152769326
24,0.36546222979118975,0.6638297732835562,0.6828971393791844,0.6620352247375172,0.6604420935868226,0.6611758344802254,0.6814450339516902,0.6828971393791844,0.6821139192506163,0.3171028606208156
