epoch,train_loss,val_loss,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,mae
1,1.2943233725502254,1.0511155920789073,0.5544735240413877,0.4135653359566403,0.29539836074925485,0.31382296656904385,0.519044588936621,0.5544735240413877,0.505308544897741,0.5173463177115033
2,1.1218699333643265,1.0136100318616146,0.5672550213024954,0.4402658040264134,0.33272691132374244,0.332430206369808,0.5468633877434549,0.5672550213024954,0.5258145458418851,0.5100426049908704
3,1.0686580626081028,1.0071060217812666,0.5690809494826536,0.42579044748175654,0.33737146468583473,0.33460231021693265,0.5442740451863508,0.5690809494826536,0.5212638999339688,0.5076080340839927
4,1.0155556964570156,0.9903808101530998,0.5684723067559343,0.4087542144204108,0.3199655271651893,0.33090889534599477,0.5434093793507103,0.5684723067559343,0.5310921024002516,0.5021302495435179
5,0.9869927515401193,0.9910658118351886,0.5611685940353013,0.4055115225246884,0.3293468836303979,0.33287029157416076,0.5397502801089313,0.5611685940353013,0.5295230213966964,0.5136944613511869
6,0.9711794979430467,0.9924633794634791,0.5599513085818625,0.39159595999843333,0.32880791210580107,0.337839422136487,0.5343559009591188,0.5599513085818625,0.5289320735390429,0.515520389531345
7,0.94081047907655,1.00229752506342,0.5483870967741935,0.3928845369207756,0.3367786762084428,0.3343859298368518,0.5314119534988478,0.5483870967741935,0.5226662508819259,0.5362142422398052
8,0.907556614840538,0.9852190812912498,0.5623858794887401,0.4004212437708331,0.3133471976269739,0.32705990057771633,0.5414556046634152,0.5623858794887401,0.5316452323784313,0.5130858186244674
9,0.893769429403902,0.9988715136406702,0.5581253804017042,0.39356814172866017,0.3084867948264287,0.3165144946049461,0.5409360767829944,0.5581253804017042,0.5265360889853707,0.5216068167985393
10,0.8743667108558588,0.9970606352886774,0.5581253804017042,0.40698653396355244,0.3423539736832718,0.34535048447115124,0.539201870270458,0.5581253804017042,0.5322418232711696,0.5143031040779062
11,0.856204485513782,0.9994553085949388,0.5629945222154595,0.3790656888331307,0.32517510739279315,0.33438263784217426,0.5416979072770378,0.5629945222154595,0.5357446885126352,0.5143031040779062
12,0.851984809713636,1.0108897556855196,0.5569080949482653,0.4008343547657206,0.35652640655177814,0.3577334897547175,0.5396332734457676,0.5569080949482653,0.5355087853338885,0.524041387705417
13,0.8338320688908546,0.9978167022500761,0.5629945222154595,0.39619294384552906,0.3129164812729738,0.3254678670427429,0.537821612583002,0.5629945222154595,0.5290666251777473,0.5069993913572732
14,0.817882656156243,1.0074321958108856,0.5642118076688983,0.40814338878070017,0.3310872165538482,0.34044569153985693,0.5471444020644136,0.5642118076688983,0.5385086684970161,0.5076080340839927
