epoch,train_loss,val_loss,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,mae
1,0.5786055513871463,0.6943784401464665,0.5891661594643944,0.6264846485215753,0.6264846485215753,0.5891661594643944,0.6638031375787561,0.5891661594643944,0.5891661594643944,0.4108338405356056
2,0.4896767474691148,0.6633137002342442,0.6220328667072429,0.6476435935198821,0.6522716028374158,0.6215612638325572,0.6836783354562623,0.6220328667072429,0.624821828535125,0.37796713329275716
3,0.4663204047168681,0.6400317135774284,0.6548995739500914,0.6651397409070043,0.6745834790802033,0.6524476711541727,0.6979901965047813,0.6548995739500914,0.6595724031915885,0.3451004260499087
4,0.4407360593530666,0.6205160149117468,0.6652465003043213,0.6651722870749872,0.6756344321859509,0.6601603280572595,0.6949317920379937,0.6652465003043213,0.6703073682118453,0.33475349969567864
5,0.42921026442263566,0.6264825636340726,0.6622032866707243,0.6676238584949352,0.6779269910598082,0.6587194921353512,0.6991260222849148,0.6622032866707243,0.6671351644768246,0.3377967133292757
6,0.417745185500078,0.6237293737948992,0.6682897139379185,0.6674802024800246,0.6780806161389842,0.6629918634195617,0.696990574717789,0.6682897139379185,0.6733046695256834,0.3317102860620816
7,0.40052897795780334,0.6238105017022977,0.660377358490566,0.657990038393691,0.6679295435995853,0.6543478260869565,0.6869995947223848,0.660377358490566,0.6654899573950092,0.33962264150943394
8,0.3998177669668107,0.6367449165478902,0.6579427875836884,0.6575728748058844,0.6675521773794555,0.6526400926929097,0.6872398795857542,0.6579427875836884,0.6631148742259259,0.34205721241631165
9,0.392055740401686,0.6316635401163316,0.6707242848447961,0.6670972928396409,0.6775102337937359,0.6643739382632281,0.6956154064488022,0.6707242848447961,0.6756415886137095,0.3292757151552039
10,0.3885160633271288,0.6318299240697395,0.6713329275715155,0.6609199529610312,0.6694697334959396,0.6614294742048046,0.68685537419584,0.6713329275715155,0.6755621603259829,0.3286670724284845
11,0.37259986070233914,0.6425316195914604,0.6792452830188679,0.6715441452388184,0.6815163031660947,0.6711360351857374,0.6983976778457733,0.6792452830188679,0.6837399436395566,0.32075471698113206
12,0.3593888042853046,0.6350592847140331,0.6755934266585514,0.6653321706040907,0.6741580557840237,0.6658898784417995,0.691211187445844,0.6755934266585514,0.6797867457093622,0.32440657334144857
13,0.3608125631203009,0.6194657402944072,0.6810712111990261,0.6662212002549859,0.6725587793187555,0.6679169302454755,0.6897581741228126,0.6810712111990261,0.6840480209560987,0.3189287888009738
14,0.3515748536541521,0.6429123927816993,0.671941570298235,0.6601265537740948,0.66806347315579,0.6610897075521629,0.6854624982991228,0.671941570298235,0.6758910577602408,0.3280584297017651
15,0.35021317529158075,0.6507826960094079,0.6755934266585514,0.6651117895303942,0.6738421395955643,0.6657465385459508,0.6908979029561062,0.6755934266585514,0.6797486737698971,0.32440657334144857
