epoch,train_loss,val_loss,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1,mae
1,0.5994807515370895,0.6536223631549447,0.6116859403530128,0.628728782954135,0.634793007931781,0.6102709350814679,0.6623946937080762,0.6116859403530128,0.6160024210803516,0.38831405964698723
2,0.5191350580046947,0.6331949123723871,0.6409007912355448,0.6498291112295358,0.6585922900693597,0.6380819466970129,0.6820836726492692,0.6409007912355448,0.6458775098690906,0.3590992087644553
3,0.4953614699915922,0.6115374434523951,0.6628119293974437,0.6618564950653507,0.6720979040812275,0.6573733343371226,0.6913279694629868,0.6628119293974437,0.6679089701786143,0.3371880706025563
4,0.4676214030709815,0.6002712563197204,0.6640292148508825,0.6549308384439769,0.6635988920086597,0.6547751731194387,0.6815618525984962,0.6640292148508825,0.6685702316112935,0.3359707851491175
5,0.45677007765004474,0.6085220959153178,0.6810712111990261,0.6742278882423637,0.6845635944802115,0.6734500358057508,0.7013979130504989,0.6810712111990261,0.6856256984858442,0.3189287888009738
6,0.4451897965602317,0.6069225397185444,0.6737674984783932,0.6642772018171881,0.6733221777891224,0.6645048230041297,0.6905227808595554,0.6737674984783932,0.6781104378948978,0.3262325015216068
7,0.4290075816696308,0.6077052352635947,0.6780279975654291,0.6658811222864152,0.6739035896272347,0.6670757609709478,0.6908600811935157,0.6780279975654291,0.681813502160166,0.3219720024345709
8,0.42679352137468124,0.6185805540729135,0.6731588557516738,0.6609424127835324,0.668726030548544,0.6620409898703195,0.6860644314000692,0.6731588557516738,0.6770016080529473,0.3268411442483262
9,0.41860813186157575,0.6133870399368295,0.6774193548387096,0.666846791286958,0.6756257661558436,0.6675561969336021,0.6925413245248515,0.6774193548387096,0.6815319083115108,0.3225806451612903
10,0.4155205728937161,0.6261848732965136,0.6786366402921485,0.6612405246244446,0.6652312569525196,0.6627122861586314,0.6835275609910556,0.6786366402921485,0.680599305787596,0.3213633597078515
11,0.4026222697565404,0.6238368539932074,0.6847230675593426,0.6692809681289702,0.6751782838739361,0.6710474238025003,0.6923006033393023,0.6847230675593426,0.6874173734935265,0.31527693244065735
12,0.38770101725652095,0.6236007374666555,0.6828971393791844,0.6669898779680258,0.6724469087482786,0.6687101297328133,0.6898530027919493,0.6828971393791844,0.6854424558157393,0.3171028606208156
13,0.38950574231585366,0.6082561119112095,0.6828971393791844,0.6651512813787357,0.6686559144867662,0.6665295391072606,0.686913021617818,0.6828971393791844,0.6845608789672645,0.3171028606208156
14,0.37750548676678347,0.628672329884655,0.6804625684723068,0.6639931343813295,0.6689103806435551,0.6656340016583111,0.6866881277506831,0.6804625684723068,0.6828197105959188,0.31953743152769326
15,0.3698811565483382,0.6356193835025725,0.6786366402921485,0.665404394576905,0.6728132454755444,0.6668530488853934,0.6898566090092213,0.6786366402921485,0.6821450234941597,0.3213633597078515
16,0.37174014250132076,0.6343344434760216,0.6798539257455873,0.6625036517674554,0.6665256467221923,0.6639898911353033,0.6847319580461484,0.6798539257455873,0.6818091569020369,0.32014607425441266
17,0.36308361937606726,0.6242239819165054,0.6859403530127814,0.6686743928340567,0.6726816793820962,0.6701942916896187,0.6905155601263868,0.6859403530127814,0.6877825106049064,0.3140596469872185
18,0.3563931208145444,0.6456127387317883,0.682288496652465,0.6671201765800386,0.6732213367115094,0.6688482281859294,0.6904247602928469,0.682288496652465,0.685130849500373,0.317711503347535
19,0.3467655461286445,0.6487775629639118,0.6828971393791844,0.6657361045795027,0.6699195792406036,0.6672761400125082,0.6878633552376132,0.6828971393791844,0.6848717039058709,0.3171028606208156
20,0.34673405427211224,0.6394469434723068,0.6920267802799757,0.6752755794234031,0.6797854606073784,0.6769448019448019,0.6970141928327416,0.6920267802799757,0.6939810647966461,0.30797321972002434
21,0.3337561486698991,0.6512740327320807,0.6853317102860621,0.6661333487570853,0.6674536997645991,0.6667467010343657,0.6866627966854044,0.6853317102860621,0.6859544038950107,0.3146682897139379
22,0.3355372445089421,0.6456538645581218,0.6841144248326233,0.6669986260569679,0.6712139690102763,0.6685533909145716,0.6890675498802405,0.6841144248326233,0.6860814094570961,0.31588557516737675
23,0.333886983874988,0.6565761415245905,0.6743761412051126,0.6558311614345056,0.6586474375336793,0.6569802177441291,0.6777678484197959,0.6743761412051126,0.675833637495087,0.3256238587948874
24,0.3266944232387539,0.663635500015751,0.6755934266585514,0.6565338630556021,0.6586781625495145,0.6574626500793056,0.6780631165902012,0.6755934266585514,0.6766966220588758,0.32440657334144857
25,0.3247569298054825,0.6786354190317945,0.6713329275715155,0.6546525745356906,0.6593604154652397,0.6561727840075895,0.6777972858414546,0.6713329275715155,0.6737937044978339,0.3286670724284845
26,0.3188811147025589,0.6711251043504284,0.6707242848447961,0.6526326335583711,0.6560279329784988,0.6539241280094066,0.6750931665795985,0.6707242848447961,0.6725342464928076,0.3292757151552039
27,0.3166135484219393,0.6628515901757099,0.6835057821059038,0.6655739098185864,0.6688292350889136,0.6668850106832608,0.687167545816227,0.6835057821059038,0.6850455810932876,0.31649421789409615
28,0.3081045919487681,0.6787743966026561,0.6828971393791844,0.6652948611239557,0.6689718306752256,0.6667180604305006,0.6871478443448434,0.6828971393791844,0.6846401893211698,0.3171028606208156
