sim_bin,n,sim_min,sim_mean,sim_max,mean_confidence,high_conf_rate_4_5,conf5_rate,high_conf_lift_vs_overall,conf5_lift_vs_overall
Q1_lowest,2192,-0.10946661233901978,0.28943025457359856,0.3892825245857239,3.468978102189781,0.541970802919708,0.029653284671532845,0.8705222279414047,0.41866158100684775
Q2,2191,0.38938775658607483,0.4370108529864137,0.4776129424571991,3.544956640803286,0.597444089456869,0.046097672295755364,0.9596243137501036,0.6508326000931646
Q3,2191,0.4776197671890259,0.5089253376793611,0.538301944732666,3.611592879963487,0.6362391602008215,0.07028753993610223,1.0219375808767337,0.9923586179638351
Q4,2191,0.5383790731430054,0.5655666178951847,0.5933535695075989,3.6841624828845276,0.6599726152441807,0.0926517571884984,1.060058638413025,1.3081090873159644
Q5_highest,2191,0.593420147895813,0.6324177142802246,0.7932930588722229,3.718849840255591,0.6773162939297125,0.11547238703788225,1.0879163343049303,1.6303034437977293
