method,score_column,objective,threshold,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,recall_123,recall_45,auc_pr,auc_roc,recall_gap,min_recall
OOF ridge stacker,ridge_stacker_score45,F1-optimal,0.386,0.678714859437751,0.6753426112822692,0.9319747837560475,0.7831711223358384,0.6873148571641418,0.5964589759167178,0.581617262471195,0.26094316807738815,0.9319747837560475,0.8374511989407416,0.7531283377477656,,
OOF ridge stacker,ridge_stacker_score45,macro-F1-optimal,0.5690000000000001,0.6914019715224534,0.7685821361648969,0.721595074036065,0.7443478260869565,0.6757014371509897,0.681595602314284,0.6775727849209964,0.641596130592503,0.721595074036065,0.8374511989407416,0.7531283377477656,,
rank average: binary + expected + P45,rank_avg_binary_expected_p45,balanced recall 123/45,0.454,0.684465133260314,0.7814591700133868,0.6846503445242633,0.7298585606001406,0.6747657295850067,0.6844049787917568,0.6752968063560221,0.6841596130592503,0.6846503445242633,0.8366095599173242,0.7527446978505636,0.0004907314650129946,0.6841596130592503
rank average: binary + expected + P45,rank_avg_binary_expected_p45,precision-optimal @ recall>=0.70,0.436,0.6863818912011683,0.7745336577453366,0.7000439818208474,0.7354073617742184,0.6737414688225744,0.6819446027604841,0.6752322491147588,0.6638452237001209,0.7000439818208474,0.8366095599173242,0.7527446978505636,,
rank average: binary + expected + P45,rank_avg_binary_expected_p45,recall-optimal @ precision>=0.70,0.225,0.6911281489594743,0.7001747233546884,0.8812490837120657,0.7803453200051927,0.6792733591467663,0.6293790763179433,0.6301050301224858,0.377509068923821,0.8812490837120657,0.8366095599173242,0.7527446978505636,,
