threshold,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,recall_123,recall_45,auc_pr,auc_roc,method
0.0,0.6225812340270171,0.6225812340270171,1.0,0.767396073578219,0.3112906170135086,0.5,0.3836980367891095,0.0,1.0,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.001,0.6225812340270171,0.6225812340270171,1.0,0.767396073578219,0.3112906170135086,0.5,0.3836980367891095,0.0,1.0,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.002,0.6224899598393574,0.6225467822911912,0.9998533939305088,0.7673267326732673,0.3112733911455956,0.4999266969652544,0.38366336633663367,0.0,0.9998533939305088,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.003,0.6227637824023367,0.6227173119065011,0.9998533939305088,0.7674562538682271,0.6863586559532506,0.500289453918096,0.38445293969081806,0.0007255139056831923,0.9998533939305088,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.004,0.6231288791529755,0.6229448301059555,0.9998533939305088,0.7676290168270583,0.7489724150529777,0.5007731298552182,0.3855041053239805,0.0016928657799274486,0.9998533939305088,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.005,0.6234027017159547,0.6231380791373481,0.9997067878610174,0.7677324926818284,0.7346459626455971,0.5011835027575946,0.3865181267652151,0.002660217654171705,0.9997067878610174,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.006,0.6236765242789339,0.6233540599853694,0.9994135757220349,0.7678098777946725,0.7116770299926847,0.501641491609506,0.3877557210874686,0.0038694074969770256,0.9994135757220349,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.007,0.6238590726542533,0.6235132662397073,0.9991203635830523,0.7678440651230917,0.6963720177352383,0.5019785614771368,0.38872856945171647,0.0048367593712212815,0.9991203635830523,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.008,0.6244067177802117,0.6239010989010989,0.9988271514440697,0.7680514063468801,0.7008394383394383,0.5027993072818898,0.3907387216342408,0.006771463119709794,0.9988271514440697,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.009000000000000001,0.6247718145308506,0.6241297178453646,0.9988271514440697,0.7682246152111406,0.7120648589226823,0.5032829832190119,0.39177697826425295,0.007738814993954051,0.9988271514440697,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.01,0.625319459656809,0.6244957829116244,0.9986805453745785,0.7684584578938463,0.7184978914558122,0.50405611307423,0.393552681014817,0.0094316807738815,0.9986805453745785,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.011,0.6255932822197883,0.6246904521691278,0.9985339393050873,0.768562401263823,0.7180056034430544,0.5044664859766065,0.3945486313864483,0.010399032648125755,0.9985339393050873,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.012,0.6261409273457467,0.6250803268153861,0.9982407271661047,0.7687704640397426,0.7173020681695979,0.5052872317813595,0.3965338742304478,0.012333736396614269,0.9982407271661047,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.013000000000000001,0.6265060240963856,0.6253559944878273,0.9979475150271221,0.7688919010504913,0.714086447948139,0.5058661396175513,0.3979980189988548,0.013784764207980653,0.9979475150271221,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.014,0.6272362175976633,0.6258159418957433,0.9979475150271221,0.7692394620861114,0.7243003760111628,0.5068334914917956,0.40004450560404287,0.015719467956469165,0.9979475150271221,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.015,0.6281489594742606,0.6264150943396226,0.9978009089576308,0.7696483093972634,0.7307899647522289,0.5080902972841359,0.40280806383256446,0.01837968561064087,0.9978009089576308,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.016,0.6285140562248996,0.626715799170889,0.997361090749157,0.7697442860375651,0.7242489886943554,0.5087168210698627,0.40446609958157764,0.020072551390568318,0.997361090749157,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.017,0.6290617013508579,0.6271327123489809,0.9969212725406832,0.769927536231884,0.7206460021921897,0.5095851828241506,0.4066210185867518,0.022249093107617895,0.9969212725406832,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.018000000000000002,0.6295180722891566,0.6274690788259184,0.9966280604017006,0.7700934579439253,0.719472244330992,0.510285009644623,0.408302542925451,0.023941958887545346,0.9966280604017006,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
0.019,0.630065717415115,0.6278403842601146,0.9964814543322094,0.7703292344307814,0.721612499822365,0.511058139499841,0.41001807559757125,0.025634824667472793,0.9964814543322094,0.8366095599173242,0.7527446978505636,rank average: binary + expected + P45
