threshold,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,recall_123,recall_45,auc_pr,auc_roc,method
0.0,0.6778933917488135,0.6893259719346676,0.8786101744612227,0.7725427006123107,0.6616391132882887,0.6127029106888943,0.6104389288586018,0.3467956469165659,0.8786101744612227,0.8293756687535543,0.7411281789097508,5-class margin P45-P3
0.001,0.6776195691858342,0.689349453080023,0.877730538044275,0.7722172062427447,0.661055175681359,0.612625849433262,0.6104295522315815,0.3475211608222491,0.877730538044275,0.8293756687535543,0.7411281789097508,5-class margin P45-P3
0.002,0.6776195691858342,0.6895677233429395,0.8769975076968186,0.7720702116675271,0.6608732961300405,0.6128639291809366,0.6107857292751601,0.3487303506650544,0.8769975076968186,0.8293756687535543,0.7411281789097508,5-class margin P45-P3
0.003,0.6778021175611537,0.6899896085902321,0.876117871279871,0.771993282521638,0.6608989437286672,0.613391462846707,0.6115020844956557,0.35066505441354295,0.876117871279871,0.8293756687535543,0.7411281789097508,5-class margin P45-P3
0.004,0.6774370208105148,0.6899341268924073,0.8752382348629233,0.7716169057774331,0.6602080534592301,0.6131934826067942,0.611344333597011,0.3511487303506651,0.8752382348629233,0.8293756687535543,0.7411281789097508,5-class margin P45-P3
0.005,0.6778021175611537,0.6903852828878861,0.8747984166544495,0.7717278841179513,0.6605839081970775,0.613820006392521,0.6121356542177846,0.3528415961305925,0.8747984166544495,0.8293756687535543,0.7411281789097508,5-class margin P45-P3
0.006,0.6776195691858342,0.69048998030812,0.8739187802375018,0.7714507570855442,0.660139523085614,0.6138638641211693,0.6122661032253364,0.35380894800483675,0.8739187802375018,0.8293756687535543,0.7411281789097508,5-class margin P45-P3
0.007,0.6778021175611537,0.6906941708193302,0.8737721741680106,0.7715210355987056,0.6603449367203655,0.6141533180392653,0.6126252655554654,0.35453446191051996,0.8737721741680106,0.8293756687535543,0.7411281789097508,5-class margin P45-P3
0.008,0.6780759401241329,0.6910229645093946,0.873478962029028,0.7716117334714757,0.6606357324689218,0.6146113068911766,0.6131980448158121,0.3557436517533253,0.873478962029028,0.8293756687535543,0.7411281789097508,5-class margin P45-P3
0.009000000000000001,0.6784410368747719,0.6915659851301115,0.8727459316815717,0.7716637500810163,0.6609448324287696,0.6153330625759732,0.6141212472447346,0.35792019347037485,0.8727459316815717,0.8293756687535543,0.7411281789097508,5-class margin P45-P3
0.01,0.6788061336254108,0.6920214003256572,0.8723061134730978,0.7717750826901875,0.6613202845563824,0.6159595863617,0.6149034045824262,0.3596130592503023,0.8723061134730978,0.8293756687535543,0.7411281789097508,5-class margin P45-P3
0.011,0.6786235852500913,0.6922180801491147,0.8711332649171676,0.7714378448555663,0.6608223621656197,0.6160986759894181,0.6151641352754856,0.3610640870616687,0.8711332649171676,0.8293756687535543,0.7411281789097508,5-class margin P45-P3
0.012,0.6789886820007301,0.6926305970149254,0.870840052778185,0.7715788790024031,0.6612312648940173,0.61667758382561,0.6158738600691217,0.36251511487303506,0.870840052778185,0.8293756687535543,0.7411281789097508,5-class margin P45-P3
