threshold,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,recall_123,recall_45,auc_pr,auc_roc,method
0.589,0.6793537787513692,0.7772376801877304,0.6798123442310512,0.725267850160319,0.6697811647431637,0.6792048420066985,0.670140774395228,0.6785973397823458,0.6798123442310512,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.59,0.6796276013143483,0.7780016792611251,0.679225919953086,0.7252661239824671,0.6702445908803125,0.6797580627576796,0.6705358640928097,0.6802902055622733,0.679225919953086,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.591,0.6791712303760497,0.7781891618983507,0.6779064653276645,0.7245945310663637,0.6700080233105634,0.679582011382091,0.6701997685389749,0.6812575574365175,0.6779064653276645,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.592,0.6791712303760497,0.778658125421443,0.6771734349802082,0.7243785775895868,0.670180973538747,0.6798200911297656,0.6703015281222309,0.6824667472793229,0.6771734349802082,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.593,0.6792625045637094,0.7791659631943272,0.676587010702243,0.7242623979912115,0.6704293952669431,0.6801314739121855,0.6704863473376651,0.6836759371221282,0.676587010702243,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.594,0.6792625045637094,0.7799221262908413,0.6754141621463129,0.7239157762413576,0.670709726247025,0.6805124015084648,0.6706469125109227,0.6856106408706167,0.6754141621463129,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.595,0.6798101496896678,0.7813827076609479,0.6743879196598739,0.7239534151715454,0.6716146128559227,0.6815712270608922,0.671407389897811,0.6887545344619105,0.6743879196598739,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.596,0.6799014238773274,0.782282793867121,0.6732150711039437,0.7236624379481522,0.6720104492339931,0.682073073641452,0.6716674623316294,0.6909310761789601,0.6732150711039437,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.597,0.6790799561883899,0.7825269276799453,0.6710159800615746,0.7224940805051302,0.6715650107363893,0.6816990420259506,0.6710284728429134,0.6923821039903265,0.6710159800615746,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.598,0.6785323110624315,0.7826906598114824,0.6695499193666617,0.7217130214917825,0.6712711256487602,0.6814496876156162,0.6706015409965395,0.6933494558645708,0.6695499193666617,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.599,0.6784410368747719,0.783041537933402,0.6688168890192054,0.7214359136554124,0.6713453303702097,0.6815668483790103,0.6705938337839933,0.694316807738815,0.6688168890192054,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.6,0.6781672143117926,0.7835140251247634,0.667497434393784,0.7208676377454085,0.6713488492970756,0.6816326349719827,0.6704553705968421,0.6957678355501814,0.667497434393784,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.601,0.677710843373494,0.7841105354058722,0.6655915554903973,0.7200063436682261,0.6712848457130018,0.6816470473945335,0.6701848727264903,0.6977025392986699,0.6655915554903973,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.602,0.6778933917488135,0.7848736587054344,0.664858525142941,0.7198984046352885,0.671695230279716,0.6821269651107691,0.6704828649397854,0.6993954050785973,0.664858525142941,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.603,0.6781672143117926,0.7858754121117474,0.6639788887259933,0.7198029243483789,0.6722560191696807,0.6827754177608201,0.6709006045412563,0.7015719467956469,0.6639788887259933,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.604,0.6782584884994524,0.786509040333797,0.6632458583785369,0.719637318062515,0.6725589014120945,0.6831344164927751,0.6710939561722791,0.7030229746070134,0.6632458583785369,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.605,0.6785323110624315,0.7877202162916449,0.6620730098226066,0.7194519675003983,0.6732014828346986,0.6838781010418958,0.6715447484435098,0.705683192261185,0.6620730098226066,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.606,0.6782584884994524,0.7882126617698496,0.6607535551971851,0.7188771034372757,0.6732204965970287,0.6839438876348682,0.6713984364940566,0.7071342200725514,0.6607535551971851,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.607,0.6779846659364732,0.7886064855390009,0.6595807066412549,0.718345840651445,0.6732025000538273,0.6839620582783058,0.6712334359873462,0.7083434099153567,0.6595807066412549,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.608,0.6781672143117926,0.7893904795362726,0.6588476762937986,0.7182355761547067,0.6736236076191718,0.6844419759945414,0.6715246831614138,0.7100362756952842,0.6588476762937986,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.609,0.6778933917488135,0.7899929527836504,0.6573816155988857,0.7176122269344642,0.673689658210007,0.6845553785370486,0.6713924119271366,0.7117291414752116,0.6573816155988857,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.61,0.677710843373494,0.7906360424028268,0.6560621609734643,0.7170899767646823,0.6738301057935584,0.6847420841143017,0.6713432070229943,0.713422007255139,0.6560621609734643,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.611,0.6774370208105148,0.7911426040744022,0.6547427063480428,0.716508904219477,0.6738616428393099,0.6848078707072741,0.6711911448897512,0.7148730350665055,0.6547427063480428,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.612,0.6770719240598758,0.7920298879202988,0.652690221375165,0.7156405722552645,0.6739905765749573,0.6849908180636406,0.6710198637411486,0.7172914147521161,0.652690221375165,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.613,0.6767981014968967,0.7925437031751694,0.6513707667497435,0.7150559266114106,0.6740288609333791,0.685056604656613,0.6708648109598961,0.7187424425634825,0.6513707667497435,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.614,0.6762504563709383,0.7928443649373882,0.6497580999853394,0.7142051406010796,0.6738168898857646,0.6848548661958136,0.6704380086754478,0.7199516324062878,0.6497580999853394,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.615,0.6752464403066812,0.792645739910314,0.6478522210819528,0.71297192642788,0.6731301548464411,0.6841437647126813,0.6695376656099047,0.72043530834341,0.6478522210819528,0.8374233557753608,0.7526712352687048,OOF logistic stacker
0.616,0.6745162468054035,0.7926631900737278,0.6462395543175488,0.7120012921983524,0.6726986015243523,0.6837001882833209,0.6689072568022192,0.7211608222490931,0.6462395543175488,0.8374233557753608,0.7526712352687048,OOF logistic stacker
