threshold,accuracy,precision,recall,f1,macro_precision,macro_recall,macro_f1,recall_123,recall_45,auc_pr,auc_roc,method
0.556,0.6921321650237313,0.7605804111245466,0.7377217416801055,0.7489767061099948,0.6741842147788631,0.6773251997396901,0.6754913029075047,0.6169286577992745,0.7377217416801055,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.557,0.6918583424607521,0.7608662729062547,0.7365488931241754,0.7485101311084624,0.6740237636068145,0.6773433703831275,0.6753860740367948,0.6181378476420798,0.7365488931241754,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.558,0.6916757940854327,0.7614274867122247,0.7350828324292625,0.748023273161271,0.6740104717935409,0.6775776919099155,0.675445918264153,0.6200725513905683,0.7350828324292625,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.559,0.6914932457101132,0.7619917770671539,0.7336167717343498,0.747535106065133,0.6740011289072384,0.6778120134367034,0.6755038270823084,0.6220072551390569,0.7336167717343498,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.56,0.6911281489594743,0.7621662852784135,0.7324439231784196,0.7470095693779905,0.6737439015576343,0.6777092650958603,0.6752854782222661,0.6229746070133011,0.7324439231784196,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.561,0.6915845198977729,0.7633108935128519,0.7314176806919807,0.7470240323425918,0.6744156277519011,0.6786471716640072,0.6760251663758546,0.6258766626360338,0.7314176806919807,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.562,0.6914019715224534,0.7638036809815951,0.7300982260665592,0.7465707218349449,0.6743950776413836,0.6788338772412602,0.6760504991743853,0.6275695284159613,0.7300982260665592,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.5630000000000001,0.6914019715224534,0.7646153846153846,0.7286321653716464,0.7461902259590121,0.6746102057726833,0.6793100367366092,0.6763194174842202,0.6299879081015719,0.7286321653716464,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.5640000000000001,0.691219423147134,0.7650323774283071,0.7274593168157162,0.7457729014804239,0.674574354262252,0.6794491263643272,0.6763146901359121,0.6314389359129383,0.7274593168157162,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.5650000000000001,0.6911281489594743,0.765815931941222,0.7258466500513121,0.7452958000903206,0.6747137998606132,0.6798519828249305,0.6764967291664217,0.633857315598549,0.7258466500513121,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.5660000000000001,0.6910368747718145,0.7665218740304065,0.7243805893563994,0.7448556568930429,0.6748352163943607,0.680207223335999,0.6766499221422994,0.6360338573155986,0.7243805893563994,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.5670000000000001,0.6913106973347937,0.7672936421576247,0.723647559008943,0.7448317489059907,0.6752674268714278,0.680808060036515,0.6771051791423,0.6379685610640871,0.723647559008943,0.8374511989407416,0.7531283377477656,OOF ridge stacker
0.5680000000000001,0.6907630522088354,0.767492597787128,0.7220348922445389,0.7440701012237498,0.6748897225551634,0.6806063215757157,0.6767387628553612,0.6391777509068923,0.7220348922445389,0.8374511989407416,0.7531283377477656,OOF ridge stacker
