fold,n_train,n_valid,5class_best_epoch,binary_best_epoch,5class_best_valid_loss,binary_best_valid_loss
1,8764,2192,3,4,0.9578428955843848,0.5666280650962008
2,8765,2191,4,2,0.9875583396225637,0.5763580787132887
3,8765,2191,6,3,0.9830681937081474,0.5764392153523601
4,8765,2191,6,6,0.9696378694827673,0.5609632283789227
5,8765,2191,4,4,0.9911651737556126,0.5794090221375431
