epoch,train_loss,valid_loss
1,0.6015945286663077,0.5904352774852925
2,0.5613330906943604,0.5806595951604386
3,0.5438487951334942,0.5867711989534657
4,0.5281194199059428,0.5794090221375431
5,0.5110716656245736,0.598575053178029
6,0.49893779826953943,0.5933807822244453
7,0.4910681908784335,0.5934010413834516
8,0.4817277814514982,0.5995024620588921
9,0.4751882945082963,0.6072804948501204
10,0.46921383547715717,0.6106499130461435
11,0.4570736506651499,0.6112696805646679
12,0.4557023534722683,0.6070269831017999
13,0.44551099206761274,0.6215593955224097
14,0.4437838595169787,0.6188484942298238
15,0.4295851024636888,0.6386576787024968
16,0.4307972876194327,0.6343207539950588
17,0.41930597452837487,0.6461276052641248
18,0.41783407420510976,0.6514153756925583
19,0.40931259875466386,0.650631810148684
20,0.4056021462116042,0.6479043231495762
21,0.4099163950294505,0.656910645151073
22,0.39121214057771875,0.6595619037128485
23,0.3865200990352583,0.658055351184199
24,0.3837795435235136,0.6708819782391143
25,0.3823114783673,0.6747940390798829
26,0.38471308060604786,0.6710062742994997
27,0.37179973863631294,0.6703291653172168
28,0.3657586824282979,0.684222361313486
29,0.3586663428967925,0.7037840411849133
30,0.3654189674539539,0.7024042320164411
31,0.35828559520195924,0.7019902855661132
32,0.3469890578079974,0.7147874653693042
33,0.35048652374831246,0.7016154654436273
34,0.342118564246659,0.730263491516949
35,0.34135855886853667,0.712325190148469
36,0.3335234587584787,0.7295763467556262
37,0.3371675789318204,0.7260499511990358
38,0.3321865990807853,0.7377677366429951
39,0.3252053139266345,0.7413729877027949
40,0.32129259589179937,0.7541012735684568
41,0.31538632904803826,0.7461214052493689
42,0.3131817506312424,0.748613712723426
43,0.31807778820057186,0.7562153494994643
44,0.30852797035094404,0.7480081787179018
45,0.3014912447654508,0.7854355934383335
46,0.29871013415468844,0.7909671686817554
47,0.2967052907686471,0.7975684348332289
48,0.3013694118527148,0.7873385819818591
49,0.29304653049161783,0.784406244564361
50,0.2900282569771096,0.7869806590008442
51,0.2856511825733166,0.7999042739937807
52,0.2898020694729776,0.8129905111329406
53,0.2780494755990096,0.80624868052564
54,0.2716194487499325,0.8212433636106894
55,0.2734785493558544,0.8325597252926289
56,0.2653757049168587,0.8358202868539522
57,0.2681807130899997,0.8526804278507346
58,0.2667851336266703,0.8553352660645311
59,0.2551686717076978,0.8511233419003088
60,0.25805782150142254,0.8466883402118831
61,0.2588987493256429,0.8539065687909947
62,0.24655893890251415,0.8588987350028598
63,0.2527056140142344,0.8839448900975794
64,0.2521991336486374,0.873771877715382
65,0.25182007652219135,0.8945787334920935
66,0.25096888253547983,0.887795290735855
67,0.2420648243291139,0.8903083540108149
68,0.2370107167019305,0.9288111973548795
69,0.24110099856356848,0.9362330290891437
70,0.23572250419531568,0.9231674815900028
71,0.23598676565649332,0.9265114215344177
72,0.23291447501990256,0.9248186644219416
73,0.23187648050585674,0.9346858933874049
74,0.2290117838828718,0.9478854584617736
75,0.22531356619057696,0.9695228675030944
76,0.2229588305605067,0.9909540539405923
77,0.2332079107348533,0.9531815470978856
78,0.21861568749865198,0.956116606252262
79,0.22494974692232636,0.9590820393460029
80,0.2183779081210571,0.9712444690197692
81,0.22208933790982185,0.991764656216627
82,0.215763677141935,0.9639329858046044
83,0.21327433619743089,1.0150449849437329
84,0.20966223487142766,1.0022302141803305
85,0.2079527992148124,1.0150096741836945
86,0.20490405114731142,1.0120264185666494
87,0.2101029512393772,1.0100689635109217
88,0.20230860282717042,1.044505872339051
89,0.21075807297942462,1.0188104894160137
90,0.19421507412689243,1.036205154203052
91,0.20227135175662694,1.02704434632058
92,0.19264939700340603,1.0333238054986742
93,0.1920995061553718,1.0353708497904468
94,0.18839119037972651,1.0390590822680363
95,0.18792143213227008,1.0433658894095341
96,0.1943845079224534,1.074022768839806
97,0.18420550654893275,1.0934164647041853
98,0.1925702406744795,1.0848008938871634
99,0.18737803364862912,1.1142153006500983
100,0.18371165998141803,1.0785003206818031
