uploader,n,same_class_rate,same_top_class_rate,mean_classifier_confidence,mean_provided_class_probability,dominant_class
marlonnnnnn,16,0.3125,0.875,0.63928246,0.273308,fx-m
richwise,16,0.3125,0.625,0.7458872,0.34881505,ss-n
Colin.LeBlanc.Sound,19,0.3157894736842105,0.5263157894736842,0.6592129,0.34308344,ss-n
shopmichielvdw,19,0.3157894736842105,0.6842105263157895,0.5834538,0.31929898,m-sp
U-n,31,0.3225806451612903,0.6774193548387096,0.6605693,0.26513857,fx-ex
ROHHSADOTCOM,98,0.32653061224489793,0.3877551020408163,0.60088074,0.26917338,fx-el
Cat-Fox_Alex,612,0.33169934640522875,0.7254901960784313,0.649192,0.29345745,is-p
freekit,21,0.3333333333333333,0.5238095238095238,0.66546893,0.32569733,ss-u
Urkki69,12,0.3333333333333333,0.5,0.67734295,0.38692686,ss-u
Vikra9409,12,0.3333333333333333,0.9166666666666666,0.72015166,0.33775392,fx-o
Erokia,9,0.3333333333333333,0.4444444444444444,0.6942383,0.352915,m-m
Virgile_Loiseau,9,0.3333333333333333,0.3333333333333333,0.6338987,0.43305412,ss-u
vazdaz,9,0.3333333333333333,0.4444444444444444,0.82521033,0.3461794,ss-n
yahsay,9,0.3333333333333333,0.6666666666666666,0.6889055,0.45094755,fx-a
JAMMƳ,6,0.3333333333333333,0.5,0.6608545,0.19973505,is-k
PeteBarry,6,0.3333333333333333,0.3333333333333333,0.8905489,0.24956834,ss-n
Rahora,6,0.3333333333333333,0.3333333333333333,0.8118779,0.3513131,ss-n
Roxiegirl,6,0.3333333333333333,0.6666666666666666,0.72891474,0.28942823,fx-n
SoundLuvr2005,6,0.3333333333333333,0.8333333333333334,0.475018,0.36075506,ss-i
YouMightLikeThis,6,0.3333333333333333,1.0,0.60883254,0.485978,ss-u
ayy.o_,6,0.3333333333333333,0.8333333333333334,0.7062058,0.32424325,fx-o
joeffl,6,0.3333333333333333,0.6666666666666666,0.7501219,0.3222917,ss-u
marymckenzie,6,0.3333333333333333,0.6666666666666666,0.6686161,0.34234962,fx-o
serenaredferne,6,0.3333333333333333,0.3333333333333333,0.8492759,0.3524671,ss-n
tomasloos,6,0.3333333333333333,0.3333333333333333,0.8483065,0.30332565,ss-n
xkeril,6,0.3333333333333333,1.0,0.73822665,0.38355306,fx-m
1bob,3,0.3333333333333333,1.0,0.5289405,0.21465875,fx-o
Alliare,3,0.3333333333333333,0.6666666666666666,0.74918723,0.23323505,is-e
Cybergenic2021,3,0.3333333333333333,0.3333333333333333,0.58208925,0.43821922,ss-s
DAN2008,3,0.3333333333333333,1.0,0.7363207,0.28989688,m-sp
Dani3lns,3,0.3333333333333333,0.3333333333333333,0.84858257,0.36659595,ss-n
DavidBlouin,3,0.3333333333333333,0.3333333333333333,0.6525374,0.39220724,ss-u
DieUntergang,3,0.3333333333333333,1.0,0.38873687,0.19382437,fx-h
EskildNP,3,0.3333333333333333,1.0,0.8329614,0.3123267,fx-o
