feature,confidence,n,mean,std,median,q1,q3
audio_top1_top2_margin,1,106,0.052328455015876386,0.044368562854661876,0.041265182197093964,0.01942160213366151,0.07235516794025898
audio_top1_top2_margin,2,749,0.05000158918720579,0.04706669823600616,0.0362665057182312,0.015070050954818726,0.06871908903121948
audio_top1_top2_margin,3,3280,0.050035014747863454,0.04757034927720495,0.03558453917503357,0.014267060905694962,0.07025657966732979
audio_top1_top2_margin,4,6045,0.04778946233929479,0.045945496106656644,0.03362046182155609,0.014017611742019653,0.06699518114328384
audio_top1_top2_margin,5,776,0.04676991179897498,0.04384156647133646,0.033550363034009933,0.013583156280219555,0.06561071611940861
