feature,confidence,n,mean,std,median,q1,q3
text_assigned_label_margin,1,106,-0.13487471703369663,0.11158176900843635,-0.14208557456731796,-0.20303140208125114,-0.06315405666828156
text_assigned_label_margin,2,749,-0.12725296592307545,0.13175739402102202,-0.1209234893321991,-0.21457725763320923,-0.050035566091537476
text_assigned_label_margin,3,3280,-0.11240991587131625,0.12719420244836926,-0.1116209626197815,-0.19590330123901367,-0.032669294625520706
text_assigned_label_margin,4,6045,-0.10110083335549921,0.12175718215998727,-0.10261552035808563,-0.17602290213108063,-0.02829168736934662
text_assigned_label_margin,5,776,-0.07329552125944228,0.13393044618898284,-0.07412191852927208,-0.15536480396986008,0.011035051196813583
