feature,confidence,n,mean,std,median,q1,q3
audio_top1_top2_margin,1,106,0.052328455015876386,0.044368562854661876,0.041265182197093964,0.01942160213366151,0.07235516794025898
audio_top1_top2_margin,2,749,0.05000158918720579,0.04706669823600616,0.0362665057182312,0.015070050954818726,0.06871908903121948
audio_top1_top2_margin,3,3280,0.050035014747863454,0.04757034927720495,0.03558453917503357,0.014267060905694962,0.07025657966732979
audio_top1_top2_margin,4,6045,0.04778946233929479,0.045945496106656644,0.03362046182155609,0.014017611742019653,0.06699518114328384
audio_top1_top2_margin,5,776,0.04676991179897498,0.04384156647133646,0.033550363034009933,0.013583156280219555,0.06561071611940861
audio_assigned_label_margin,1,106,-0.16064555802435246,0.12629953482713496,-0.14968270063400269,-0.2390660047531128,-0.0748244859278202
audio_assigned_label_margin,2,749,-0.13538924511397712,0.12913909511393018,-0.1269780993461609,-0.21408148109912872,-0.05307255685329437
audio_assigned_label_margin,3,3280,-0.11676859318835252,0.12297267771824036,-0.11724625527858734,-0.19553910195827484,-0.03465784154832363
audio_assigned_label_margin,4,6045,-0.09757843282481238,0.11448286074326734,-0.09692724049091339,-0.16959945857524872,-0.0245964378118515
audio_assigned_label_margin,5,776,-0.05890248129960418,0.10220489931593815,-0.05561286583542824,-0.12879567965865135,0.008138520643115044
text_top1_top2_margin,1,106,0.04636185081183629,0.040314744660577766,0.033969491720199585,0.017711244523525238,0.06601257622241974
text_top1_top2_margin,2,749,0.05282441052907857,0.04830266557848085,0.03881528973579407,0.01756255328655243,0.07191085815429688
text_top1_top2_margin,3,3280,0.05393814593439967,0.05268743526753686,0.038355641067028046,0.015664916019886732,0.07363402098417282
text_top1_top2_margin,4,6045,0.052498843044587976,0.052316338471899294,0.03626668453216553,0.01461784541606903,0.07268249988555908
text_top1_top2_margin,5,776,0.06795310817620497,0.06003748540307518,0.04970005713403225,0.019204143434762955,0.10096799582242966
text_assigned_label_margin,1,106,-0.13487471703369663,0.11158176900843635,-0.14208557456731796,-0.20303140208125114,-0.06315405666828156
text_assigned_label_margin,2,749,-0.12725296592307545,0.13175739402102202,-0.1209234893321991,-0.21457725763320923,-0.050035566091537476
text_assigned_label_margin,3,3280,-0.11240991587131625,0.12719420244836926,-0.1116209626197815,-0.19590330123901367,-0.032669294625520706
text_assigned_label_margin,4,6045,-0.10110083335549921,0.12175718215998727,-0.10261552035808563,-0.17602290213108063,-0.02829168736934662
text_assigned_label_margin,5,776,-0.07329552125944228,0.13393044618898284,-0.07412191852927208,-0.15536480396986008,0.011035051196813583
