sim_bin,predicted_confidence,n,margin_min,margin_mean,margin_max
Q1_pred_1,1,2192,2.8908252716064453e-06,0.005282382352169718,0.01101374439895153
Q2_pred_2,2,2191,0.01101386547088623,0.017914581812649544,0.025693625211715698
Q3_pred_3,3,2191,0.02569510042667389,0.03491852051203978,0.045122236013412476
Q4_pred_4,4,2191,0.04512546956539154,0.06015676753922773,0.0794183611869812
Q5_pred_5,5,2191,0.07943635433912277,0.12467084405072364,0.34694021940231323
