feature,confidence,n,mean,std,median,q1,q3
audio_assigned_label_margin,1,106,-0.16064555802435246,0.12629953482713496,-0.14968270063400269,-0.2390660047531128,-0.0748244859278202
audio_assigned_label_margin,2,749,-0.13538924511397712,0.12913909511393018,-0.1269780993461609,-0.21408148109912872,-0.05307255685329437
audio_assigned_label_margin,3,3280,-0.11676859318835252,0.12297267771824036,-0.11724625527858734,-0.19553910195827484,-0.03465784154832363
audio_assigned_label_margin,4,6045,-0.09757843282481238,0.11448286074326734,-0.09692724049091339,-0.16959945857524872,-0.0245964378118515
audio_assigned_label_margin,5,776,-0.05890248129960418,0.10220489931593815,-0.05561286583542824,-0.12879567965865135,0.008138520643115044
