,precision,recall,f1-score,support
confidence_1,0.007755474452554745,0.16037735849056603,0.014795474325500435,106.0
confidence_2,0.0670926517571885,0.19626168224299065,0.1,749.0
confidence_3,0.2797809219534459,0.18689024390243902,0.22409065984280754,3280.0
confidence_4,0.5358283888635327,0.19421009098428454,0.2850898494414764,6045.0
confidence_5,0.0629849383842994,0.17783505154639176,0.09302325581395349,776.0
accuracy,0.1906717780211756,0.1906717780211756,0.1906717780211756,0.1906717780211756
macro avg,0.19068847508220424,0.1831148854333344,0.14339984788474758,10956.0
weighted avg,0.3885281875987294,0.1906717780211756,0.2379554464173297,10956.0
