sim_bin,predicted_confidence,n,margin_min,margin_mean,margin_max
Q1_pred_1,1,2192,-0.5652422904968262,-0.27873148028840766,-0.20520325005054474
Q2_pred_2,2,2191,-0.20509785413742065,-0.16689078150030578,-0.1344979703426361
Q3_pred_3,3,2192,-0.13444313406944275,-0.10464861678353844,-0.07666181027889252
Q4_pred_4,4,2190,-0.07665781676769257,-0.04462231066265063,-0.008252382278442383
Q5_pred_5,5,2191,-0.008241444826126099,0.07184124040569972,0.3516444265842438
