predicted_by_margin,1,2,3,4,5
1,0.008211678832116789,0.05748175182481752,0.2956204379562044,0.5816605839416058,0.057025547445255474
2,0.01323596531264263,0.06846188954815152,0.298037425832953,0.5577361935189411,0.06252852578731173
3,0.006846188954815153,0.07622090369694204,0.29301688726608854,0.565038795070744,0.058877225011410315
4,0.015061615700593337,0.07485166590597901,0.3172067549064354,0.5285257873117298,0.06435417617526244
5,0.005020538566864446,0.06481058877225011,0.29301688726608854,0.5257873117298038,0.11136467366499316
