feature,is_mean_monotonic_increasing,confidence_5_mean_minus_confidence_1_mean,confidence_5_mean_minus_confidence_4_mean,similarity_5bin_accuracy,similarity_5bin_macro_precision,similarity_5bin_macro_recall,similarity_5bin_macro_f1,similarity_5bin_weighted_precision,similarity_5bin_weighted_recall,similarity_5bin_weighted_f1
audio_top1_top2_margin,False,-0.005558543216901406,-0.0010195505403198107,0.1906717780211756,0.19068847508220424,0.1831148854333344,0.14339984788474758,0.3885281875987294,0.1906717780211756,0.2379554464173297
audio_assigned_label_margin,True,0.10174307672474828,0.038675951525208196,0.2090178897407813,0.2090353869679212,0.25180353364423536,0.16459392097469286,0.41179185695975723,0.2090178897407813,0.2534538630417591
text_top1_top2_margin,False,0.021591257364368677,0.01545426513161699,0.20189850310332239,0.20191618332461597,0.21436126317873683,0.15961579897457653,0.39198623170171426,0.20189850310332239,0.24419434615162183
text_assigned_label_margin,True,0.06157919577425436,0.02780531209605694,0.20664476086162833,0.20668682424318044,0.22595054106104623,0.16124395945664677,0.4080338890564495,0.20664476086162833,0.2520639297569088
