sim_bin,predicted_confidence,n,margin_min,margin_mean,margin_max
Q1_pred_1,1,2192,-0.615275502204895,-0.27203457100303285,-0.19813020527362823
Q2_pred_2,2,2191,-0.19809165596961975,-0.16203120576633487,-0.13003355264663696
Q3_pred_3,3,2191,-0.13001397252082825,-0.10214535302016246,-0.0733489841222763
Q4_pred_4,4,2191,-0.07332061231136322,-0.04201306370378139,-0.006394296884536743
Q5_pred_5,5,2191,-0.006380729377269745,0.05940453272552192,0.3375314474105835
