,precision,recall,f1-score,support
confidence_1,0.017335766423357664,0.3584905660377358,0.03307223672758921,106.0
confidence_2,0.07120036513007759,0.2082777036048064,0.10612244897959183,749.0
confidence_3,0.2779552715654952,0.18567073170731707,0.2226284043136538,3280.0
confidence_4,0.5727978092195345,0.2076095947063689,0.30475959203496844,6045.0
confidence_5,0.10588772250114104,0.29896907216494845,0.15638692281766095,776.0
accuracy,0.2090178897407813,0.2090178897407813,0.2090178897407813,0.2090178897407813
macro avg,0.2090353869679212,0.25180353364423536,0.16459392097469286,10956.0
weighted avg,0.41179185695975723,0.2090178897407813,0.2534538630417591,10956.0
