feature,q1_high_conf_4_5_rate,q5_high_conf_4_5_rate,delta_q5_minus_q1_high_conf_rate,q1_conf5_rate,q5_conf5_rate,delta_q5_minus_q1_conf5_rate,true_conf1_captured_by_pred1_rate,true_conf5_captured_by_pred5_rate,exact_5class_accuracy_from_table
audio_top1_top2_margin,0.636405109489051,0.6020082154267458,-0.03439689406230528,0.07116788321167883,0.0629849383842994,-0.008182944827379426,0.16037735849056603,0.17783505154639176,0.1906717780211756
audio_assigned_label_margin,0.5223540145985401,0.673664993153811,0.15131097855527087,0.032846715328467155,0.10588772250114104,0.07304100717267388,0.3584905660377358,0.29896907216494845,0.2090178897407813
text_top1_top2_margin,0.6386861313868613,0.6371519853947969,-0.0015341459920643619,0.057025547445255474,0.11136467366499316,0.05433912621973768,0.16981132075471697,0.31443298969072164,0.20189850310332239
text_assigned_label_margin,0.5629562043795621,0.655408489274304,0.09245228489474189,0.05976277372262774,0.10223642172523961,0.04247364800261187,0.24528301886792453,0.28865979381443296,0.20664476086162833
