,precision,recall,f1-score,support
confidence_1,0.011861313868613138,0.24528301886792453,0.022628372497824196,106.0
confidence_2,0.06754906435417618,0.19759679572763686,0.10068027210884353,749.0
confidence_3,0.29288321167883213,0.19573170731707318,0.23464912280701755,3280.0
confidence_4,0.5589041095890411,0.20248138957816378,0.2972677595628415,6045.0
confidence_5,0.10223642172523961,0.28865979381443296,0.15099427030670712,776.0
accuracy,0.20664476086162833,0.20664476086162833,0.20664476086162833,0.20664476086162833
macro avg,0.20668682424318044,0.22595054106104623,0.16124395945664677,10956.0
weighted avg,0.4080338890564495,0.20664476086162833,0.2520639297569088,10956.0
