,precision,recall,f1-score,support
confidence_1,0.0625,0.125,0.08333333333333333,16.0
confidence_2,0.24285714285714285,0.30357142857142855,0.2698412698412698,112.0
confidence_3,0.5,0.266260162601626,0.34748010610079577,492.0
confidence_4,0.6343723673125526,0.8302094818081588,0.7191977077363897,907.0
confidence_5,0.5652173913043478,0.1111111111111111,0.18571428571428572,117.0
accuracy,0.5675182481751825,0.5675182481751825,0.5675182481751825,0.5675182481751825
macro avg,0.4009893802948087,0.3272304368184649,0.3211133405452149,1644.0
weighted avg,0.5569988880383784,0.5675182481751825,0.5331853163641265,1644.0
