,precision,recall,f1-score,support
confidence_123,0.5931445603576752,0.6419354838709678,0.616576297443842,620.0
confidence_45,0.7718396711202467,0.7333984375,0.7521281922884326,1024.0
accuracy,0.698905109489051,0.698905109489051,0.698905109489051,0.698905109489051
macro avg,0.682492115738961,0.6876669606854839,0.6843522448661373,1644.0
weighted avg,0.7044485709543133,0.698905109489051,0.7010076480039763,1644.0
