confidence,n,mean,std,median,q1,q3
1,106,0.03773077793215085,0.13167107759771374,0.03744550608098507,-0.04917849972844124,0.1258015986531973
2,749,0.06612075810091886,0.13313313633511156,0.06679237633943558,-0.021383674815297127,0.16092513501644135
3,3280,0.07440271636300744,0.1320104919126403,0.07413601502776146,-0.019239201210439205,0.16237616911530495
4,6045,0.07803022171304076,0.13057412010782654,0.07504890114068985,-0.012692555785179138,0.16740700602531433
5,776,0.1330799323070996,0.1353465995338223,0.11424311622977257,0.04363060463219881,0.23423559218645096
