sim_bin,predicted_confidence,n,sim_min,sim_mean,sim_max
Q1_pred_1,1,2192,-0.38577356934547424,-0.10455599656824811,-0.03440188243985176
Q2_pred_2,2,2191,-0.03437148407101631,0.007519214475296382,0.04457760974764824
Q3_pred_3,3,2191,0.044590067118406296,0.07784395708967322,0.11074270308017731
Q4_pred_4,4,2191,0.11076318472623825,0.14940219528255588,0.19268862903118134
Q5_pred_5,5,2191,0.19270318746566772,0.26807090980802045,0.5184609293937683
