experiment,acc,mae,mse,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,best_epoch,dropout
same_structure_similarity_dropout_0.2,0.5679744525547445,0.48722627737226276,0.6094890510948905,0.5059363001175834,0.33691949262620174,0.3640099893237271,0.5587944036357674,0.5679744525547445,0.5537087036149381,13,0.2
same_structure_similarity_dropout_0.3,0.5643248175182481,0.48813868613138683,0.6058394160583942,0.47334126786614517,0.3288228473955532,0.35393401113891554,0.5537635396155055,0.5643248175182481,0.5480328319251728,13,0.3
same_structure_similarity_dropout_0.4,0.5629562043795621,0.48677007299270075,0.5953467153284672,0.499369111113916,0.32562345883141963,0.3518409560216843,0.5509184395444073,0.5629562043795621,0.5458388123083132,13,0.4
same_structure_similarity_dropout_0.7,0.5123175182481752,0.5652372262773723,0.7367700729927007,0.36262347259631544,0.3568288718053041,0.34871437783693754,0.5399290091359492,0.5123175182481752,0.5149013164530626,3,0.7
same_structure_similarity_dropout_0.5,0.5588503649635036,0.48905109489051096,0.593978102189781,0.48061812751299104,0.3221302786930067,0.348310422608295,0.5495847739167187,0.5588503649635036,0.5408902783821249,13,0.5
same_structure_similarity_dropout_0.6,0.5063868613138686,0.572536496350365,0.7495437956204379,0.3493515734459873,0.35183700188660494,0.34127198536781966,0.5373265429338441,0.5063868613138686,0.5110684194407249,3,0.6
same_structure_similarity_dropout_0.8,0.5333029197080292,0.5232664233576643,0.646441605839416,0.37022033953622235,0.3440911605143777,0.3396836812997804,0.5498706376005968,0.5333029197080292,0.5290305320735424,5,0.8
