epoch,train_loss,acc,mae,mse,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,loss
1,1.625480745383889,0.4520985401459854,0.6829379562043796,0.9986313868613139,0.3120537737842464,0.36192846816536106,0.3192040492248366,0.5252509734875653,0.4520985401459854,0.4675981088362181,1.4591647673697368
2,1.4841776735866412,0.48266423357664234,0.6067518248175182,0.8102189781021898,0.33472273336858194,0.3692528487176938,0.33786240841488346,0.5317400596751454,0.48266423357664234,0.4912310889348376,1.3984300002564478
3,1.4114171887358156,0.5018248175182481,0.5766423357664233,0.7536496350364964,0.3463274992138956,0.3562688195265622,0.34365676827559866,0.5346569157162367,0.5018248175182481,0.5074643582144597,1.3556503692682642
4,1.3576746153972945,0.5022810218978102,0.5711678832116789,0.7317518248175182,0.39334746671727355,0.351436672868652,0.3440848423973329,0.5336625358056009,0.5022810218978102,0.5055661533280726,1.304154217678265
5,1.3238445997020525,0.521441605839416,0.5333029197080292,0.6537408759124088,0.35156381199288167,0.34095112739583805,0.3338755427659351,0.5433956805590286,0.521441605839416,0.5203572608043956,1.2728514305866547
6,1.2794203988388215,0.5460766423357665,0.5045620437956204,0.6167883211678832,0.3704203652993964,0.32922542281407885,0.33488068308273455,0.5541315108573693,0.5460766423357665,0.5388119120256311,1.2364094326966
7,1.25607390362397,0.5351277372262774,0.5155109489051095,0.625,0.3560773016552833,0.3194734498984552,0.32652816234478876,0.5394716066736088,0.5351277372262774,0.529180451856793,1.2186552355759335
8,1.2230522003091127,0.5387773722627737,0.5123175182481752,0.6245437956204379,0.3733697525804935,0.3192172764769503,0.330948951329658,0.5415693753763348,0.5387773722627737,0.5315125089700686,1.1870057400125658
9,1.195013697535847,0.541970802919708,0.5091240875912408,0.6213503649635036,0.3679370645740615,0.32521326887355784,0.3350380574144911,0.5402352527696787,0.541970802919708,0.5350481593304945,1.1582257712844515
10,1.1684301913682318,0.5542883211678832,0.4936131386861314,0.5985401459854015,0.40680571491441775,0.3292806590329299,0.33992669874002035,0.5551667214654963,0.5542883211678832,0.5430612742260504,1.132710606512362
11,1.1451656790641496,0.5602189781021898,0.48813868613138683,0.5921532846715328,0.3927171472432972,0.32019573208661967,0.32988863153833753,0.5527201556505611,0.5602189781021898,0.5462957169332259,1.1189297798776279
12,1.1270977272284406,0.5656934306569343,0.4858576642335766,0.5980839416058394,0.39377117844923365,0.3256894248254666,0.34257108117588164,0.5529513756220057,0.5656934306569343,0.5524528855358728,1.1037666332112612
13,1.114544223346214,0.5629562043795621,0.48677007299270075,0.5953467153284672,0.499369111113916,0.32562345883141963,0.3518409560216843,0.5509184395444073,0.5629562043795621,0.5458388123083132,1.0899366418810656
14,1.1034138242657574,0.5702554744525548,0.4840328467153285,0.604470802919708,0.4074180223597468,0.3204103556124871,0.334409152113042,0.5559101004758181,0.5702554744525548,0.5516701668385381,1.0799901024268492
15,1.0858568143539917,0.5652372262773723,0.47992700729927007,0.5775547445255474,0.42560521138250396,0.3099118619858553,0.3315806651023876,0.5528994219411736,0.5652372262773723,0.5447576182944844,1.0633457981757004
16,1.0743345768687824,0.5743613138686131,0.47308394160583944,0.5761861313868614,0.4322142340308529,0.3096968689108378,0.32911891166403895,0.5625001766290746,0.5743613138686131,0.5521699075187827,1.0509278970043154
17,1.0608027224560297,0.5615875912408759,0.48722627737226276,0.5921532846715328,0.41234139204153253,0.30674467296525804,0.3236480371977672,0.5462134299853789,0.5615875912408759,0.5396444338817885,1.0424176237008866
18,1.060394087919412,0.5620437956204379,0.4927007299270073,0.6122262773722628,0.4022521405175118,0.30756875131401273,0.3251520185921254,0.5426982048786412,0.5620437956204379,0.539422374669719,1.0384975993720285
