epoch,train_loss,acc,mae,mse,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,loss
1,1.5994537700424996,0.45072992700729925,0.6865875912408759,1.0086678832116789,0.31277593939277326,0.36504163365185466,0.32070562758076937,0.5245929647018549,0.45072992700729925,0.46684211801467873,1.4598944265476979
2,1.4684742948117728,0.4767335766423358,0.6236313868613139,0.8489963503649635,0.3271290130842144,0.37221391059170905,0.33457333653712384,0.5310441800438029,0.4767335766423358,0.486657276219362,1.4002821784819999
3,1.3954864998812655,0.5022810218978102,0.5775547445255474,0.7563868613138686,0.3457846434592608,0.35693889666588324,0.34436410789057964,0.5361067354282772,0.5022810218978102,0.5082874838148846,1.354893180575684
4,1.351125856285931,0.5013686131386861,0.572992700729927,0.7363138686131386,0.3690860481985626,0.35330259371794315,0.34532145347469057,0.5330224460390642,0.5013686131386861,0.5050614260070505,1.3054259075735608
5,1.310219888815538,0.5209854014598541,0.541058394160584,0.6779197080291971,0.3520882987745274,0.3407858381396397,0.3329728854482796,0.5439563247993,0.5209854014598541,0.520228744684649,1.2690285948941307
6,1.2691320421923138,0.5396897810218978,0.510036496350365,0.6186131386861314,0.36336861380756835,0.3288370179876152,0.33398545002872887,0.5481605209715373,0.5396897810218978,0.5340441497840303,1.2347748862565868
7,1.240023261441971,0.5360401459854015,0.5168795620437956,0.6327554744525548,0.35665295694621724,0.3194735170892098,0.32635027841681236,0.5412614382876523,0.5360401459854015,0.5300135532453578,1.2175040932467385
8,1.2092055172639478,0.5433394160583942,0.510036496350365,0.6277372262773723,0.37994814782740477,0.32714803532066244,0.33996235714520207,0.5448487911477801,0.5433394160583942,0.5366083659436387,1.1867924015017322
9,1.1829131018457104,0.5465328467153284,0.5059306569343066,0.6208941605839416,0.3649877771272055,0.3208116719010432,0.33190722277522144,0.5404882472860048,0.5465328467153284,0.5381099171642565,1.1583383627181505
10,1.1578308336270122,0.552463503649635,0.4954379562043796,0.5994525547445255,0.3922549010558517,0.32846935668103683,0.3402082643460366,0.5499392287209066,0.552463503649635,0.5423424768838949,1.1331601051518516
11,1.1343546798380473,0.5565693430656934,0.49224452554744524,0.5971715328467153,0.3752136693831667,0.3227186181245977,0.3314387233810922,0.5459852002369107,0.5565693430656934,0.5443206397168604,1.117012476398997
12,1.111406356218687,0.5679744525547445,0.4854014598540146,0.6012773722627737,0.39185996557039593,0.32600052668881796,0.34302226772284794,0.5533992857098046,0.5679744525547445,0.5542940494205107,1.1021672587325102
13,1.1014029156503369,0.5643248175182481,0.48813868613138683,0.6058394160583942,0.47334126786614517,0.3288228473955532,0.35393401113891554,0.5537635396155055,0.5643248175182481,0.5480328319251728,1.0885588496270842
14,1.0911983054612446,0.5684306569343066,0.4858576642335766,0.6062956204379562,0.39619936597910166,0.3179178983165465,0.33136003749116505,0.5518063388855055,0.5684306569343066,0.5500739798243167,1.0796298149728427
15,1.071928919585858,0.5643248175182481,0.4812956204379562,0.5798357664233577,0.42301953577351376,0.3092937829045046,0.3307486871256775,0.5523577188661752,0.5643248175182481,0.5444323241655837,1.063091549125031
16,1.0631088640307902,0.5743613138686131,0.47308394160583944,0.5752737226277372,0.42822410989035375,0.3122177901611061,0.33101924863411936,0.5629980180840163,0.5743613138686131,0.5536058063362546,1.0505119662215239
17,1.0483487316703535,0.5684306569343066,0.48175182481751827,0.5894160583941606,0.41339676801989117,0.31215314290173024,0.330626081093398,0.5524774873444189,0.5684306569343066,0.5476474098180969,1.0418775168648602
18,1.046691676515904,0.552463503649635,0.5004562043795621,0.6154197080291971,0.38491528734738634,0.30614626451916344,0.3235235953428097,0.5325206676189356,0.552463503649635,0.5330970141275924,1.0363553244702137
