,precision,recall,f1-score,support
confidence_1,0.5,0.047619047619047616,0.08695652173913043,21.0
confidence_2,0.4528301886792453,0.16,0.23645320197044334,150.0
confidence_3,0.45454545454545453,0.4954268292682927,0.47410649161196206,656.0
confidence_4,0.6391597899474869,0.7041322314049587,0.6700747149036571,1210.0
confidence_5,0.48314606741573035,0.27741935483870966,0.3524590163934426,155.0
accuracy,0.5679744525547445,0.5679744525547445,0.5679744525547445,0.5679744525547445
macro avg,0.5059363001175834,0.33691949262620174,0.3640099893237271,2192.0
weighted avg,0.5587944036357674,0.5679744525547445,0.5537087036149381,2192.0
